curriculum_year,major,semester,semester_code,code,name,sks,type,dingdong_url
2019,IF,5,Ganjil,IF3159,Dasar Pembangunan Perangkat Lunak,1,Elective,
2019,IF,7,Ganjil,IF4010,Pemrograman Unit Pemrosesan Grafis,3,Elective,
2019,IF,7,Ganjil,IF4020,Kriptografi,3,Elective,https://drive.google.com/drive/folders/1fr5_-e8xiV064miQOAk26jJKJ9vJi7ra?usp=drive_link
2019,IF,8,Genap,IF4021,Pemodelan dan Simulasi,2,Elective,https://drive.google.com/drive/folders/1bSgCsKfVgyQ3oQqCP2KfdYbniVZW36Qb?usp=drive_link
2019,IF,8,Genap,IF4031,Pengembangan Aplikasi Terdistribusi,3,Elective,https://drive.google.com/drive/folders/1_WM2RXcVPAuSoQhRs_hSkDI6CS9wjXRc?usp=drive_link
2019,IF,7,Ganjil,IF4033,Keamanan dan Penjaminan Informasi,3,Elective,https://drive.google.com/drive/folders/1vH2mte6EGYS7QPoi-Ooibhp6YKbihjoX?usp=drive_link
2019,IF,7,Ganjil,IF4040,Pemodelan Data Lanjut,3,Elective,https://drive.google.com/drive/folders/1BHqyvc4Wsr_mUwU_Qm8Wb8D6Kd97Mk1R?usp=drive_link
2019,IF,7,Ganjil,IF4041,Ilmu Data dan Penggalian Data,3,Elective,https://drive.google.com/drive/folders/1CbYcTHrtIPN0Szns0j5vYfLb-toH57GU?usp=drive_link
2019,IF,8,Genap,IF4042,Sistem Temu Balik Informasi,3,Elective,https://drive.google.com/drive/folders/1fOsEdU4ih8b6wpPw-_ZfNnbt7azgjm0g?usp=drive_link
2019,IF,8,Genap,IF4043,Sistem Informasi Lanjut,3,Elective,https://drive.google.com/drive/folders/1rNHe_2sZhxneWLq5IKAh7EubH5UQVo5I?usp=drive_link
2019,IF,8,Genap,IF4044,Teknologi Big Data,2,Elective,https://drive.google.com/drive/folders/1fLOQOL4M5Wy3GhXq2ekaYnkZ9y4fpY8Z?usp=drive_link
2019,IF,7,Ganjil,IF4050,Advances in Software Engineering,3,Elective,
2019,IF,8,Genap,IF4051,Pengembangan Sistem IoT,2,Elective,
